,week_day,route_id,start_time,travel_time,month_day,stop_id
753,1,2,85923,110,7,2
754,1,3,85977,144,7,2
755,1,1,86026,178,7,2
756,1,0,86131,144,7,2
757,1,3,64,69,7,2
758,1,1,195,66,7,2
759,1,0,568,58,7,2
760,1,2,630,135,7,2
761,1,3,693,203,7,2
762,1,0,745,227,7,2
763,1,1,950,81,7,2
764,1,2,1007,77,7,2
765,1,0,1091,57,7,2
766,1,3,1316,53,7,2
767,1,2,1629,59,7,2
768,1,0,1679,84,7,2
769,1,1,1936,57,7,2
770,1,2,2007,67,7,2
771,1,0,2080,61,7,2
772,1,3,2148,60,7,2
773,1,3,2202,86,7,2
774,1,1,2685,63,7,2
775,1,3,2748,137,7,2
776,1,0,2807,140,7,2
777,1,3,2880,137,7,2
778,1,1,3101,50,7,2
779,1,2,3170,52,7,2
780,1,0,3225,58,7,2
781,1,3,3350,51,7,2
782,1,2,3466,57,7,2
783,1,1,3519,80,7,2
784,1,3,3707,59,7,2
785,1,2,4106,68,7,2
786,1,3,4366,52,7,2
787,1,0,4429,75,7,2
788,1,0,4478,98,7,2
789,1,1,4587,62,7,2
790,1,2,4660,71,7,2
791,1,3,4724,67,7,2
792,1,1,4912,52,7,2
793,1,0,4988,66,7,2
794,1,3,5035,88,7,2
795,1,2,5333,51,7,2
796,1,1,5613,58,7,2
797,1,0,5672,69,7,2
798,1,3,5840,53,7,2
799,1,3,5979,46,7,2
800,1,1,6039,63,7,2
801,1,0,6177,57,7,2
802,1,2,6463,66,7,2
803,1,3,6776,54,7,2
804,1,1,6834,68,7,2
805,1,0,6885,90,7,2
806,1,1,7228,62,7,2
807,1,2,7313,63,7,2
808,1,0,7391,62,7,2
809,1,3,7745,61,7,2
810,1,2,7849,78,7,2
811,1,1,8029,57,7,2
812,1,0,8071,82,7,2
813,1,3,8346,55,7,2
814,1,3,8393,69,7,2
815,1,1,8582,51,7,2
816,1,0,8627,61,7,2
817,1,2,8692,66,7,2
818,1,3,8820,50,7,2
819,1,1,8966,51,7,2
820,1,1,9189,49,7,2
821,1,0,9287,53,7,2
